,Project Code,PQ #,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
13,107-RW-T01,Pre-PQ Process,SCMS-268,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/22/2006,27-02-07,27-02-07,27-02-07,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,99800,9.98,0.17,"Cipla, Goa, India",Yes,7416,64179.42,45.57
18,109-TZ-T01,Pre-PQ Process,SCMS-555,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,04-12-07,06-06-07,06-06-07,06-06-07,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",Yes,162,912.96,45.57
22,108-VN-T01,Pre-PQ Process,SCMS-753,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07-04-07,15-10-07,15-10-07,15-10-07,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,1920,1.92,0.01,"Aurobindo Unit III, India",Yes,941,4193.49,3.07
23,108-VN-T01,Pre-PQ Process,SCMS-759,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,07-04-07,27-08-07,27-08-07,27-08-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,500,41095,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,117,1767.38,65.75
29,117-ET-T01,Pre-PQ Process,SCMS-11070,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10-03-07,20-11-07,20-11-07,20-11-07,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,64000,99200,1.55,0.03,"Aurobindo Unit III, India",Yes,4228,12237.61,158.72
32,108-VN-T01,Pre-PQ Process,SCMS-14190,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/19/2007,21-01-08,21-01-08,21-01-08,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000,17,0.57,Gilead(Nycomed) Oranienburg DE,Yes,76,2282.57,27.2
33,108-VN-T01,Pre-PQ Process,SCMS-14200,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/21/2007,21-01-08,21-01-08,21-01-08,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,3352,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23,2149.05,5.36
46,108-VN-T01,Pre-PQ Process,SCMS-19490,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,03-06-08,03-06-08,03-06-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,96432,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654,4051.34,154.29
49,108-VN-T01,Pre-PQ Process,SCMS-20310,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/31/2008,12-07-08,12-07-08,12-07-08,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800,7,0.12,"BMS Meymac, France",Yes,81,2211.05,4.48
54,108-VN-T01,Pre-PQ Process,SCMS-23450,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/14/2008,19-09-08,19-09-08,19-09-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,Yes,1537,13507.92,29.37
