Date,Warehouse_Location,Material_ID,Material_Name,Category,Supplier_Name,Forecasted_Demand,Actual_Consumption,Safety_Stock,Reorder_Level,Current_Stock,Lead_Time_Days,Unit_Cost,Inventory_Value (PKR),Reorder_Flag
11/21/2024,Islamabad East,M0019,Material_089,Raw Material,Alpha Ltd,68,60,91,132,187,10,110.98,20753.26,No
10/15/2024,Karachi Central,M0057,Material_022,Raw Material,Gamma Traders,264,207,52,115,184,4,31.9,5869.6,No
12/11/2024,Karachi Central,M0069,Material_092,Finished Good,Delta Supplies,83,35,80,144,273,5,128.99,35214.27,No
11/30/2024,Lahore South,M0003,Material_029,Raw Material,Alpha Ltd,190,215,92,137,122,2,111.67,13623.74,Yes
10/21/2024,Faisalabad Hub,M0001,Material_013,Semi-Finished,Alpha Ltd,220,163,85,117,72,2,127.86,9205.92,Yes
12/22/2024,Lahore South,M0058,Material_082,Semi-Finished,Delta Supplies,111,59,89,109,76,2,51.86,3941.36,Yes
12/26/2024,Islamabad East,M0038,Material_002,Finished Good,Beta Corp,167,189,54,97,183,10,54.32,9940.56,No
12/14/2024,Karachi Central,M0015,Material_029,Raw Material,Beta Corp,270,288,81,110,59,12,103.97,6134.23,Yes
12/14/2024,Karachi Central,M0034,Material_085,Finished Good,Alpha Ltd,149,107,95,149,259,9,14.4,3729.6,No
12/27/2024,Karachi Central,M0061,Material_079,Packaging,Gamma Traders,71,87,46,89,224,6,111.71,25023.04,No
10/24/2024,Islamabad East,M0035,Material_052,Semi-Finished,Beta Corp,229,254,79,126,78,6,127.01,9906.78,Yes
10/03/2024,Islamabad East,M0064,Material_027,Semi-Finished,Gamma Traders,229,216,67,122,34,10,68.12,2316.08,Yes
10/22/2024,Lahore South,M0025,Material_050,Finished Good,Beta Corp,160,128,71,106,130,4,117.08,15220.4,No
11/22/2024,Lahore South,M0024,Material_095,Raw Material,Beta Corp,213,253,74,133,264,4,34.45,9094.8,No
10/02/2024,Lahore South,M0012,Material_079,Semi-Finished,Gamma Traders,122,121,54,89,231,8,55.12,12732.72,No
12/27/2024,Faisalabad Hub,M0018,Material_023,Packaging,Delta Supplies,280,302,87,165,240,10,146.4,35136.0,No
