MONTH,DAY_OF_MONTH,DAY_OF_WEEK,day_of_week_c,FLIGHT_DATE,MARKETING_CARRIER_CODE,MARKETING_FLIGHT_NUMBER,AIRCRAFT_TAIL_NUMBER,ORIGIN_AIRPORT_CODE,ORIGIN_CITY_NAME,ORIGIN_STATE_CODE,ORIGIN_STATE_NAME,DEST_AIRPORT_CODE,DEST_CITY_NAME,DEST_STATE_CODE,DEST_STATE_NAME,SCHEDULED_DEP_TIME,SCHEDULED_DEP_HOUR,ACTUAL_DEP_TIME,ACTUAL_DEP_HOUR,DEP_DELAY,DEP_DELAY_15_MIN,DEP_DELAY_GROUP,ORIGIN_TAXI_TIME,DEP_TAKEOFF_TIME,ARR_LANDING_TIME,DEST_TAXI_TIME,SCHEDULED_ARR_TIME,SCHEDULED_ARR_HOUR,ACTUAL_ARR_TIME,ACTUAL_ARR_HOUR,ARR_DELAY,ARR_DELAY_15_MIN,ARR_DELAY_GROUP,CANCELLED,cancelled_c,CANCELLATION_REASON,SCHEDULED_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,IN_AIR_DURATION,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1,3,Wed,2020-01-01,WN,5888,N951WN,ONT,"Ontario, CA",CA,California,SFO,"San Francisco, CA",CA,California,1810,18,1851,18,41,Greater than 15,30-45 min late,44,1935,2049,4,1945,19,2053,20,68,Greater than 15,60-75 min late,0,No,Not Cancelled,95,122,74,363,500-750 miles,8,0,27,0,33
1,1,3,Wed,2020-01-01,WN,6276,N467WN,ONT,"Ontario, CA",CA,California,SFO,"San Francisco, CA",CA,California,1150,11,1146,11,-4,Less than 15,0-15 min early,13,1159,1310,8,1320,13,1318,13,-2,Less than 15,0-15 min early,0,No,Not Cancelled,90,92,71,363,500-750 miles,0,0,0,0,0
1,1,3,Wed,2020-01-01,WN,4598,N7885A,ONT,"Ontario, CA",CA,California,SJC,"San Jose, CA",CA,California,2020,20,2016,20,-4,Less than 15,0-15 min early,8,2024,2121,3,2130,21,2124,21,-6,Less than 15,0-15 min early,0,No,Not Cancelled,70,68,57,333,500-750 miles,0,0,0,0,0
1,1,3,Wed,2020-01-01,WN,4761,N551WN,ONT,"Ontario, CA",CA,California,SJC,"San Jose, CA",CA,California,1340,13,1350,13,10,Less than 15,0-15 min late,10,1400,1503,2,1455,14,1505,15,10,Less than 15,0-15 min late,0,No,Not Cancelled,75,75,63,333,500-750 miles,0,0,0,0,0
1,1,3,Wed,2020-01-01,WN,5162,N968WN,ONT,"Ontario, CA",CA,California,SJC,"San Jose, CA",CA,California,915,9,916,9,1,Less than 15,0-15 min late,6,922,1019,4,1035,10,1023,10,-12,Less than 15,0-15 min early,0,No,Not Cancelled,80,67,57,333,500-750 miles,0,0,0,0,0
1,1,3,Wed,2020-01-01,WN,5684,N7856A,ONT,"Ontario, CA",CA,California,SJC,"San Jose, CA",CA,California,600,6,602,6,2,Less than 15,0-15 min late,17,619,716,6,715,7,722,7,7,Less than 15,0-15 min late,0,No,Not Cancelled,75,80,57,333,500-750 miles,0,0,0,0,0
1,1,3,Wed,2020-01-01,WN,6152,N7735A,ONT,"Ontario, CA",CA,California,SJC,"San Jose, CA",CA,California,1620,16,1624,16,4,Less than 15,0-15 min late,6,1630,1732,4,1740,17,1736,17,-4,Less than 15,0-15 min early,0,No,Not Cancelled,80,72,62,333,500-750 miles,0,0,0,0,0
1,1,3,Wed,2020-01-01,WN,1679,N405WN,ONT,"Ontario, CA",CA,California,SMF,"Sacramento, CA",CA,California,1505,15,1604,16,59,Greater than 15,45-60 min late,5,1609,1715,2,1630,16,1717,17,47,Greater than 15,45-60 min late,0,No,Not Cancelled,85,73,66,390,500-750 miles,0,0,0,7,40
1,1,3,Wed,2020-01-01,WN,3479,N489WN,ONT,"Ontario, CA",CA,California,SMF,"Sacramento, CA",CA,California,1230,12,1225,12,-5,Less than 15,0-15 min early,8,1233,1346,19,1355,13,1405,14,10,Less than 15,0-15 min late,0,No,Not Cancelled,85,100,73,390,500-750 miles,0,0,0,0,0
1,1,3,Wed,2020-01-01,WN,4069,N7708E,ONT,"Ontario, CA",CA,California,SMF,"Sacramento, CA",CA,California,740,7,740,7,0,Less than 15,0-15 min late,9,749,900,4,900,9,904,9,4,Less than 15,0-15 min late,0,No,Not Cancelled,80,84,71,390,500-750 miles,0,0,0,0,0
