FLIGHT_DATE,year,quarter,month,day,AIRLINE,AIRLINE_CODE,DOT_CODE,FLIGHT_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,SCHEDULED_DEP_TIME,crs_dep_time_converted,DEP_TIME,dep_time_converted,DEP_DELAY,TAXI_OUT,WHEELS_OFF,wheels_off_converted,WHEELS_ON,wheels_on_converted,TAXI_IN,SCHEDULED_ARR_TIME,crs_arr_time_converted,ARR_TIME,arr_time_converted,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,SCHEDULED_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,cancelled_c,diverted_c
2019-01-09,2019,1,Jan,9,United Air Lines Inc.,UA,19977,1562,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",1155,11:55,1151.0,11:51,-4.0,19.0,1210.0,12:10,1443.0,14:43,4.0,1501,15:01,1447.0,14:47,-14.0,0,Not Cancelled,0,186.0,176.0,153.0,1065.0,0.0,0.0,0.0,0.0,0.0,No,No
2022-11-19,2022,4,Nov,19,Delta Air Lines Inc.,DL,19790,1149,MSP,"Minneapolis, MN",SEA,"Seattle, WA",2120,21:20,2114.0,21:14,-6.0,9.0,2123.0,21:23,2232.0,22:32,38.0,2315,23:15,2310.0,23:10,-5.0,0,Not Cancelled,0,235.0,236.0,189.0,1399.0,0.0,0.0,0.0,0.0,0.0,No,No
2022-07-22,2022,3,Jul,22,United Air Lines Inc.,UA,19977,459,DEN,"Denver, CO",MSP,"Minneapolis, MN",954,09:54,1000.0,10:00,6.0,20.0,1020.0,10:20,1247.0,12:47,5.0,1252,12:52,1252.0,12:52,0.0,0,Not Cancelled,0,118.0,112.0,87.0,680.0,0.0,0.0,0.0,0.0,0.0,No,No
2023-03-06,2023,1,Mar,6,Delta Air Lines Inc.,DL,19790,2295,MSP,"Minneapolis, MN",SFO,"San Francisco, CA",1609,16:09,1608.0,16:08,-1.0,27.0,1635.0,16:35,1844.0,18:44,9.0,1829,18:29,1853.0,18:53,24.0,0,Not Cancelled,0,260.0,285.0,249.0,1589.0,0.0,0.0,24.0,0.0,0.0,No,No
2020-02-23,2020,1,Feb,23,Spirit Air Lines,NK,20416,407,MCO,"Orlando, FL",DFW,"Dallas/Fort Worth, TX",1840,18:40,1838.0,18:38,-2.0,15.0,1853.0,18:53,2026.0,20:26,14.0,2041,20:41,2040.0,20:40,-1.0,0,Not Cancelled,0,181.0,182.0,153.0,985.0,0.0,0.0,0.0,0.0,0.0,No,No
2019-07-31,2019,3,Jul,31,Southwest Airlines Co.,WN,19393,665,DAL,"Dallas, TX",OKC,"Oklahoma City, OK",1010,10:10,1237.0,12:37,147.0,15.0,1252.0,12:52,1328.0,13:28,3.0,1110,11:10,1331.0,13:31,141.0,0,Not Cancelled,0,60.0,54.0,36.0,181.0,141.0,0.0,0.0,0.0,0.0,No,No
2023-06-11,2023,2,Jun,11,American Airlines Inc.,AA,19805,2134,DCA,"Washington, DC",BOS,"Boston, MA",1010,10:10,1001.0,10:01,-9.0,23.0,1024.0,10:24,1122.0,11:22,8.0,1159,11:59,1130.0,11:30,-29.0,0,Not Cancelled,0,109.0,89.0,58.0,399.0,0.0,0.0,0.0,0.0,0.0,No,No
2019-07-08,2019,3,Jul,8,Republic Airline,YX,20452,4464,HSV,"Huntsville, AL",DCA,"Washington, DC",1643,16:43,1637.0,16:37,-6.0,22.0,1659.0,16:59,1927.0,19:27,41.0,1945,19:45,2008.0,20:08,23.0,0,Not Cancelled,0,122.0,151.0,88.0,613.0,0.0,0.0,23.0,0.0,0.0,No,No
2023-02-12,2023,1,Feb,12,Spirit Air Lines,NK,20416,590,IAH,"Houston, TX",LAX,"Los Angeles, CA",530,05:30,527.0,05:27,-3.0,11.0,538.0,05:38,658.0,06:58,8.0,717,07:17,706.0,07:06,-11.0,0,Not Cancelled,0,227.0,219.0,200.0,1379.0,0.0,0.0,0.0,0.0,0.0,No,No
2020-08-22,2020,3,Aug,22,Alaska Airlines Inc.,AS,19930,223,SEA,"Seattle, WA",FAI,"Fairbanks, AK",2125,21:25,2116.0,21:16,-9.0,19.0,2135.0,21:35,2353.0,23:53,3.0,2355,23:55,2356.0,23:56,1.0,0,Not Cancelled,0,210.0,220.0,198.0,1533.0,0.0,0.0,0.0,0.0,0.0,No,No
