FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
09-01-19,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1562,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",1155,1151,-4,19,1210,1443,4,1501,1447,-14,0,,0,186,176,153,1065,,,,,
19-11-22,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1149,MSP,"Minneapolis, MN",SEA,"Seattle, WA",2120,2114,-6,9,2123,2232,38,2315,2310,-5,0,,0,235,236,189,1399,,,,,
22-07-22,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,459,DEN,"Denver, CO",MSP,"Minneapolis, MN",954,1000,6,20,1020,1247,5,1252,1252,0,0,,0,118,112,87,680,,,,,
06-03-23,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2295,MSP,"Minneapolis, MN",SFO,"San Francisco, CA",1609,1608,-1,27,1635,1844,9,1829,1853,24,0,,0,260,285,249,1589,0,0,24,0,0
23-02-20,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,407,MCO,"Orlando, FL",DFW,"Dallas/Fort Worth, TX",1840,1838,-2,15,1853,2026,14,2041,2040,-1,0,,0,181,182,153,985,,,,,
31-07-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,665,DAL,"Dallas, TX",OKC,"Oklahoma City, OK",1010,1237,147,15,1252,1328,3,1110,1331,141,0,,0,60,54,36,181,141,0,0,0,0
11-06-23,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2134,DCA,"Washington, DC",BOS,"Boston, MA",1010,1001,-9,23,1024,1122,8,1159,1130,-29,0,,0,109,89,58,399,,,,,
08-07-19,Republic Airline,Republic Airline: YX,YX,20452,4464,HSV,"Huntsville, AL",DCA,"Washington, DC",1643,1637,-6,22,1659,1927,41,1945,2008,23,0,,0,122,151,88,613,0,0,23,0,0
12-02-23,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,590,IAH,"Houston, TX",LAX,"Los Angeles, CA",530,527,-3,11,538,658,8,717,706,-11,0,,0,227,219,200,1379,,,,,
22-08-20,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,223,SEA,"Seattle, WA",FAI,"Fairbanks, AK",2125,2116,-9,19,2135,2353,3,2355,2356,1,0,,0,210,220,198,1533,,,,,
11-06-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2820,ATL,"Atlanta, GA",BDL,"Hartford, CT",1850,1959,69,14,2013,2208,4,2112,2212,60,0,,0,142,133,115,859,60,0,0,0,0
31-07-20,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2107,RDU,"Raleigh/Durham, NC",DFW,"Dallas/Fort Worth, TX",1207,1201,-6,14,1215,1346,11,1358,1357,-1,0,,0,171,176,151,1061,,,,,
05-08-21,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,430,MDW,"Chicago, IL",BNA,"Nashville, TN",820,826,6,10,836,935,6,940,941,1,0,,0,80,75,59,395,,,,,
20-11-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1065,BDL,"Hartford, CT",ATL,"Atlanta, GA",600,555,-5,15,610,802,6,840,808,-32,0,,0,160,133,112,859,,,,,
07-04-20,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,687,SJC,"San Jose, CA",LAX,"Los Angeles, CA",2155,,,,,,,2315,,,1,D,0,80,,,308,,,,,
01-05-22,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1011,BWI,"Baltimore, MD",BDL,"Hartford, CT",1735,1738,3,12,1750,1843,3,1840,1846,6,0,,0,65,68,53,283,,,,,
01-07-20,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1225,STT,"Charlotte Amalie, VI",ATL,"Atlanta, GA",1615,1613,-2,15,1628,1945,3,1957,1948,-9,0,,0,222,215,197,1599,,,,,
25-12-21,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2516,DAL,"Dallas, TX",MSY,"New Orleans, LA",1435,1428,-7,9,1437,1533,3,1600,1536,-24,0,,0,85,68,56,436,,,,,
24-03-19,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,906,DEN,"Denver, CO",IAH,"Houston, TX",1530,1526,-4,14,1540,1830,15,1858,1845,-13,0,,0,148,139,110,862,,,,,
17-03-19,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1157,SRQ,"Sarasota/Bradenton, FL",ORD,"Chicago, IL",1615,1611,-4,31,1642,1838,12,1815,1850,35,0,,0,180,219,176,1050,0,0,35,0,0
05-05-22,JetBlue Airways,JetBlue Airways: B6,B6,20409,1273,JFK,"New York, NY",CHS,"Charleston, SC",803,800,-3,17,817,943,3,1012,946,-26,0,,0,129,106,86,636,,,,,
27-01-19,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,262,FLL,"Fort Lauderdale, FL",ACY,"Atlantic City, NJ",1430,1443,13,28,1511,1706,5,1700,1711,11,0,,0,150,148,115,977,,,,,
12-11-22,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2706,GRR,"Grand Rapids, MI",MSP,"Minneapolis, MN",730,720,-10,10,730,731,5,806,736,-30,0,,0,96,76,61,408,,,,,
06-09-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1754,DFW,"Dallas/Fort Worth, TX",PNS,"Pensacola, FL",830,830,0,19,849,1016,4,1014,1020,6,0,,0,104,110,87,604,,,,,
25-05-21,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5037,CLT,"Charlotte, NC",RDU,"Raleigh/Durham, NC",914,906,-8,30,936,1005,4,1029,1009,-20,0,,0,75,63,29,130,,,,,
23-04-19,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,498,ORD,"Chicago, IL",IAD,"Washington, DC",1330,1329,-1,23,1352,1612,3,1620,1615,-5,0,,0,110,106,80,588,,,,,
04-07-21,Allegiant Air,Allegiant Air: G4,G4,20368,46,LAS,"Las Vegas, NV",GEG,"Spokane, WA",625,639,14,28,707,854,4,833,858,25,0,,0,128,139,107,806,0,0,25,0,0
03-04-19,ExpressJet Airlines LLC d/b/a aha!,ExpressJet Airlines LLC d/b/a aha!: EV,EV,20366,4450,TUL,"Tulsa, OK",IAH,"Houston, TX",859,852,-7,10,902,1014,14,1045,1028,-17,0,,0,106,96,72,429,,,,,
06-03-22,JetBlue Airways,JetBlue Airways: B6,B6,20409,406,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",2030,2030,0,14,2044,2309,11,2328,2320,-8,0,,0,178,170,145,1065,,,,,
15-04-23,Republic Airline,Republic Airline: YX,YX,20452,3615,MSP,"Minneapolis, MN",EWR,"Newark, NJ",1325,714,1069,55,809,1134,33,1723,1207,1124,0,,0,178,233,145,1008,0,0,1124,0,0
03-01-23,Allegiant Air,Allegiant Air: G4,G4,20368,1206,USA,"Concord, NC",SFB,"Sanford, FL",1541,1531,-10,12,1543,1653,18,1709,1711,2,0,,0,88,100,70,457,,,,,
31-01-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,231,DFW,"Dallas/Fort Worth, TX",RNO,"Reno, NV",1140,1135,-5,16,1151,1241,6,1318,1247,-31,0,,0,218,192,170,1345,,,,,
08-06-21,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1378,ORD,"Chicago, IL",ABQ,"Albuquerque, NM",1315,1316,1,14,1330,1457,8,1516,1505,-11,0,,0,181,169,147,1118,,,,,
21-06-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1214,SLC,"Salt Lake City, UT",DFW,"Dallas/Fort Worth, TX",600,558,-2,10,608,915,14,940,929,-11,0,,0,160,151,127,989,,,,,
28-12-21,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5311,IAH,"Houston, TX",BOI,"Boise, ID",1805,1835,30,16,1851,2121,3,2110,2124,14,0,,0,245,229,210,1482,,,,,
25-12-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3711,BNA,"Nashville, TN",MCI,"Kansas City, MO",1715,1711,-4,8,1719,1835,6,1855,1841,-14,0,,0,100,90,76,491,,,,,
23-07-23,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1182,AUS,"Austin, TX",IAH,"Houston, TX",520,521,1,18,539,606,9,617,615,-2,0,,0,57,54,27,140,,,,,
18-07-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,992,IND,"Indianapolis, IN",TPA,"Tampa, FL",2135,2254,79,6,2300,44,3,2350,47,57,0,,0,135,113,104,837,57,0,0,0,0
02-11-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2520,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",1851,1859,8,13,1912,2058,12,2119,2110,-9,0,,0,148,131,106,801,,,,,
01-06-21,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3032,DFW,"Dallas/Fort Worth, TX",BIL,"Billings, MT",1900,1859,-1,15,1914,2048,4,2058,2052,-6,0,,0,178,173,154,1081,,,,,
28-05-22,Republic Airline,Republic Airline: YX,YX,20452,3593,MHT,"Manchester, NH",EWR,"Newark, NJ",600,555,-5,18,613,700,6,737,706,-31,0,,0,97,71,47,209,,,,,
08-10-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2720,DFW,"Dallas/Fort Worth, TX",TUS,"Tucson, AZ",826,820,-6,18,838,832,5,850,837,-13,0,,0,144,137,114,813,,,,,
28-10-20,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5047,RDU,"Raleigh/Durham, NC",DTW,"Detroit, MI",1745,1740,-5,11,1751,1907,14,1932,1921,-11,0,,0,107,101,76,501,,,,,
01-01-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,345,ATL,"Atlanta, GA",DAB,"Daytona Beach, FL",939,935,-4,12,947,1041,3,1055,1044,-11,0,,0,76,69,54,366,,,,,
28-12-20,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5327,SFO,"San Francisco, CA",BOI,"Boise, ID",1825,1823,-2,17,1840,2108,3,2105,2111,6,0,,0,100,108,88,522,,,,,
02-01-22,Republic Airline,Republic Airline: YX,YX,20452,3467,ORD,"Chicago, IL",DCA,"Washington, DC",1935,,,,,,,2241,,,1,B,0,126,,,612,,,,,
17-05-22,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4041,BWI,"Baltimore, MD",MHT,"Manchester, NH",755,750,-5,13,803,902,5,915,907,-8,0,,0,80,77,59,377,,,,,
04-03-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1013,SFO,"San Francisco, CA",DEN,"Denver, CO",1252,1251,-1,20,1311,1612,9,1629,1621,-8,0,,0,157,150,121,967,,,,,
20-12-21,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5056,PRC,"Prescott, AZ",DEN,"Denver, CO",600,608,8,11,619,739,10,759,749,-10,0,,0,119,101,80,557,,,,,
03-07-23,JetBlue Airways,JetBlue Airways: B6,B6,20409,431,BOS,"Boston, MA",LGA,"New York, NY",1400,1350,-10,15,1405,1449,6,1521,1455,-26,0,,0,81,65,44,184,,,,,
06-01-20,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1530,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",1030,1035,5,15,1050,1724,4,1740,1728,-12,0,,0,250,233,214,1947,,,,,
26-02-21,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,440,SMF,"Sacramento, CA",DEN,"Denver, CO",530,526,-4,11,537,832,7,847,839,-8,0,,0,137,133,115,909,,,,,
08-04-23,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3355,MDW,"Chicago, IL",SAT,"San Antonio, TX",2120,2133,13,7,2140,2,3,15,5,-10,0,,0,175,152,142,1036,,,,,
12-06-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1031,DTW,"Detroit, MI",ATL,"Atlanta, GA",1330,1332,2,10,1342,1522,6,1531,1528,-3,0,,0,121,116,100,594,,,,,
16-04-19,Envoy Air,Envoy Air: MQ,MQ,20398,3657,GRR,"Grand Rapids, MI",ORD,"Chicago, IL",1414,1409,-5,13,1422,1355,15,1420,1410,-10,0,,0,66,61,33,137,,,,,
